"PG","[M+H]+","[M+H-PG head]+","[M+H-R1]+","[M+H-R2]+","[exp_1]+","[exp_2]+","[exp_3]+"
"PG(27:2) PG(10:0_17:2)",649.40761,478.40171,229.1798,323.2581,71.0856,95.0855,123.1168
"PG(28:0) PG(10:0_18:0)",667.45451,496.44861,229.1798,341.305,71.0856,95.0855,123.1168
"PG(28:1) PG(10:0_18:1)",665.43891,494.43301,229.1798,339.2894,71.0856,95.0855,123.1168
"PG(28:2) PG(10:0_18:2)",663.42321,492.41731,229.1798,337.2737,71.0856,95.0855,123.1168
"PG(28:3) PG(10:0_18:3)",661.40761,490.40171,229.1798,335.2581,71.0856,95.0855,123.1168
"PG(28:4) PG(10:0_18:4)",659.39191,488.38601,229.1798,333.2424,71.0856,95.0855,123.1168
"PG(29:0) PG(10:0_19:0)",681.47021,510.46431,229.1798,355.3207,71.0856,95.0855,123.1168
"PG(30:0) PG(10:0_20:0)",695.48581,524.47991,229.1798,369.3363,71.0856,95.0855,123.1168
"PG(30:1) PG(10:0_20:1)",693.47021,522.46431,229.1798,367.3207,71.0856,95.0855,123.1168
"PG(30:2) PG(10:0_20:2)",691.45451,520.44861,229.1798,365.305,71.0856,95.0855,123.1168
"PG(30:3) PG(10:0_20:3)",689.43891,518.43301,229.1798,363.2894,71.0856,95.0855,123.1168
"PG(30:4) PG(10:0_20:4)",687.42321,516.41731,229.1798,361.2737,71.0856,95.0855,123.1168
"PG(30:5) PG(10:0_20:5)",685.40761,514.40171,229.1798,359.2581,71.0856,95.0855,123.1168
"PG(31:0) PG(10:0_21:0)",709.50151,538.49561,229.1798,383.352,71.0856,95.0855,123.1168
"PG(32:0) PG(10:0_22:0)",723.51711,552.51121,229.1798,397.3676,71.0856,95.0855,123.1168
"PG(32:1) PG(10:0_22:1)",721.50151,550.49561,229.1798,395.352,71.0856,95.0855,123.1168
"PG(32:2) PG(10:0_22:2)",719.48581,548.47991,229.1798,393.3363,71.0856,95.0855,123.1168
"PG(32:3) PG(10:0_22:3)",717.47021,546.46431,229.1798,391.3207,71.0856,95.0855,123.1168
"PG(32:4) PG(10:0_22:4)",715.45451,544.44861,229.1798,389.305,71.0856,95.0855,123.1168
"PG(32:5) PG(10:0_22:5)",713.43891,542.43301,229.1798,387.2894,71.0856,95.0855,123.1168
"PG(32:6) PG(10:0_22:6)",711.42321,540.41731,229.1798,385.2737,71.0856,95.0855,123.1168
"PG(33:0) PG(10:0_23:0)",737.53281,566.52691,229.1798,411.3833,71.0856,95.0855,123.1168
"PG(34:0) PG(10:0_24:0)",751.54841,580.54251,229.1798,425.3989,71.0856,95.0855,123.1168
"PG(34:1) PG(10:0_24:1)",749.53281,578.52691,229.1798,423.3833,71.0856,95.0855,123.1168
"PG(35:0) PG(10:0_25:0)",765.56411,594.55821,229.1798,439.4146,71.0856,95.0855,123.1168
"PG(36:0) PG(10:0_26:0)",779.57971,608.57381,229.1798,453.4302,71.0856,95.0855,123.1168
"PG(24:0) PG(12:0_12:0)",611.39191,440.38601,257.2111,257.2111,71.0856,95.0855,123.1168
"PG(25:0) PG(12:0_13:0)",625.40761,454.40171,257.2111,271.2268,71.0856,95.0855,123.1168
"PG(26:0) PG(12:0_14:0)",639.42321,468.41731,257.2111,285.2424,71.0856,95.0855,123.1168
"PG(26:1) PG(12:0_14:1)",637.40761,466.40171,257.2111,283.2268,71.0856,95.0855,123.1168
"PG(27:0) PG(12:0_15:0)",653.43891,482.43301,257.2111,299.2581,71.0856,95.0855,123.1168
"PG(27:1) PG(12:0_15:1)",651.42321,480.41731,257.2111,297.2424,71.0856,95.0855,123.1168
"PG(28:0) PG(12:0_16:0)",667.45451,496.44861,257.2111,313.2737,71.0856,95.0855,123.1168
"PG(28:1) PG(12:0_16:1)",665.43891,494.43301,257.2111,311.2581,71.0856,95.0855,123.1168
"PG(29:0) PG(12:0_17:0)",681.47021,510.46431,257.2111,327.2894,71.0856,95.0855,123.1168
"PG(29:1) PG(12:0_17:1)",679.45451,508.44861,257.2111,325.2737,71.0856,95.0855,123.1168
"PG(29:2) PG(12:0_17:2)",677.43891,506.43301,257.2111,323.2581,71.0856,95.0855,123.1168
"PG(30:0) PG(12:0_18:0)",695.48581,524.47991,257.2111,341.305,71.0856,95.0855,123.1168
"PG(30:1) PG(12:0_18:1)",693.47021,522.46431,257.2111,339.2894,71.0856,95.0855,123.1168
"PG(30:2) PG(12:0_18:2)",691.45451,520.44861,257.2111,337.2737,71.0856,95.0855,123.1168
"PG(30:3) PG(12:0_18:3)",689.43891,518.43301,257.2111,335.2581,71.0856,95.0855,123.1168
"PG(30:4) PG(12:0_18:4)",687.42321,516.41731,257.2111,333.2424,71.0856,95.0855,123.1168
"PG(31:0) PG(12:0_19:0)",709.50151,538.49561,257.2111,355.3207,71.0856,95.0855,123.1168
"PG(32:0) PG(12:0_20:0)",723.51711,552.51121,257.2111,369.3363,71.0856,95.0855,123.1168
"PG(32:1) PG(12:0_20:1)",721.50151,550.49561,257.2111,367.3207,71.0856,95.0855,123.1168
"PG(32:2) PG(12:0_20:2)",719.48581,548.47991,257.2111,365.305,71.0856,95.0855,123.1168
"PG(32:3) PG(12:0_20:3)",717.47021,546.46431,257.2111,363.2894,71.0856,95.0855,123.1168
"PG(32:4) PG(12:0_20:4)",715.45451,544.44861,257.2111,361.2737,71.0856,95.0855,123.1168
"PG(32:5) PG(12:0_20:5)",713.43891,542.43301,257.2111,359.2581,71.0856,95.0855,123.1168
"PG(33:0) PG(12:0_21:0)",737.53281,566.52691,257.2111,383.352,71.0856,95.0855,123.1168
"PG(34:0) PG(12:0_22:0)",751.54841,580.54251,257.2111,397.3676,71.0856,95.0855,123.1168
"PG(34:1) PG(12:0_22:1)",749.53281,578.52691,257.2111,395.352,71.0856,95.0855,123.1168
"PG(34:2) PG(12:0_22:2)",747.51711,576.51121,257.2111,393.3363,71.0856,95.0855,123.1168
"PG(34:3) PG(12:0_22:3)",745.50151,574.49561,257.2111,391.3207,71.0856,95.0855,123.1168
"PG(34:4) PG(12:0_22:4)",743.48581,572.47991,257.2111,389.305,71.0856,95.0855,123.1168
"PG(34:5) PG(12:0_22:5)",741.47021,570.46431,257.2111,387.2894,71.0856,95.0855,123.1168
"PG(34:6) PG(12:0_22:6)",739.45451,568.44861,257.2111,385.2737,71.0856,95.0855,123.1168
"PG(35:0) PG(12:0_23:0)",765.56411,594.55821,257.2111,411.3833,71.0856,95.0855,123.1168
"PG(36:0) PG(12:0_24:0)",779.57971,608.57381,257.2111,425.3989,71.0856,95.0855,123.1168
"PG(36:1) PG(12:0_24:1)",777.56411,606.55821,257.2111,423.3833,71.0856,95.0855,123.1168
"PG(37:0) PG(12:0_25:0)",793.59541,622.58951,257.2111,439.4146,71.0856,95.0855,123.1168
"PG(38:0) PG(12:0_26:0)",807.61101,636.60511,257.2111,453.4302,71.0856,95.0855,123.1168
"PG(26:0) PG(13:0_13:0)",639.42331,468.41741,271.2268,271.2268,71.0856,95.0855,123.1168
"PG(27:0) PG(13:0_14:0)",653.43891,482.43301,271.2268,285.2424,71.0856,95.0855,123.1168
"PG(27:1) PG(13:0_14:1)",651.42331,480.41741,271.2268,283.2268,71.0856,95.0855,123.1168
"PG(28:0) PG(13:0_15:0)",667.45461,496.44871,271.2268,299.2581,71.0856,95.0855,123.1168
"PG(28:1) PG(13:0_15:1)",665.43891,494.43301,271.2268,297.2424,71.0856,95.0855,123.1168
"PG(29:0) PG(13:0_16:0)",681.47021,510.46431,271.2268,313.2737,71.0856,95.0855,123.1168
"PG(29:1) PG(13:0_16:1)",679.45461,508.44871,271.2268,311.2581,71.0856,95.0855,123.1168
"PG(30:0) PG(13:0_17:0)",695.48591,524.48001,271.2268,327.2894,71.0856,95.0855,123.1168
"PG(30:1) PG(13:0_17:1)",693.47021,522.46431,271.2268,325.2737,71.0856,95.0855,123.1168
"PG(30:2) PG(13:0_17:2)",691.45461,520.44871,271.2268,323.2581,71.0856,95.0855,123.1168
"PG(31:0) PG(13:0_18:0)",709.50151,538.49561,271.2268,341.305,71.0856,95.0855,123.1168
"PG(31:1) PG(13:0_18:1)",707.48591,536.48001,271.2268,339.2894,71.0856,95.0855,123.1168
"PG(31:2) PG(13:0_18:2)",705.47021,534.46431,271.2268,337.2737,71.0856,95.0855,123.1168
"PG(31:3) PG(13:0_18:3)",703.45461,532.44871,271.2268,335.2581,71.0856,95.0855,123.1168
"PG(31:4) PG(13:0_18:4)",701.43891,530.43301,271.2268,333.2424,71.0856,95.0855,123.1168
"PG(32:0) PG(13:0_19:0)",723.51721,552.51131,271.2268,355.3207,71.0856,95.0855,123.1168
"PG(33:0) PG(13:0_20:0)",737.53281,566.52691,271.2268,369.3363,71.0856,95.0855,123.1168
"PG(33:1) PG(13:0_20:1)",735.51721,564.51131,271.2268,367.3207,71.0856,95.0855,123.1168
"PG(33:2) PG(13:0_20:2)",733.50151,562.49561,271.2268,365.305,71.0856,95.0855,123.1168
"PG(33:3) PG(13:0_20:3)",731.48591,560.48001,271.2268,363.2894,71.0856,95.0855,123.1168
"PG(33:4) PG(13:0_20:4)",729.47021,558.46431,271.2268,361.2737,71.0856,95.0855,123.1168
"PG(33:5) PG(13:0_20:5)",727.45461,556.44871,271.2268,359.2581,71.0856,95.0855,123.1168
"PG(34:0) PG(13:0_21:0)",751.54851,580.54261,271.2268,383.352,71.0856,95.0855,123.1168
"PG(35:0) PG(13:0_22:0)",765.56411,594.55821,271.2268,397.3676,71.0856,95.0855,123.1168
"PG(35:1) PG(13:0_22:1)",763.54851,592.54261,271.2268,395.352,71.0856,95.0855,123.1168
"PG(35:2) PG(13:0_22:2)",761.53281,590.52691,271.2268,393.3363,71.0856,95.0855,123.1168
"PG(35:3) PG(13:0_22:3)",759.51721,588.51131,271.2268,391.3207,71.0856,95.0855,123.1168
"PG(35:4) PG(13:0_22:4)",757.50151,586.49561,271.2268,389.305,71.0856,95.0855,123.1168
"PG(35:5) PG(13:0_22:5)",755.48591,584.48001,271.2268,387.2894,71.0856,95.0855,123.1168
"PG(35:6) PG(13:0_22:6)",753.47021,582.46431,271.2268,385.2737,71.0856,95.0855,123.1168
"PG(36:0) PG(13:0_23:0)",779.57981,608.57391,271.2268,411.3833,71.0856,95.0855,123.1168
"PG(37:0) PG(13:0_24:0)",793.59541,622.58951,271.2268,425.3989,71.0856,95.0855,123.1168
"PG(37:1) PG(13:0_24:1)",791.57981,620.57391,271.2268,423.3833,71.0856,95.0855,123.1168
"PG(38:0) PG(13:0_25:0)",807.61111,636.60521,271.2268,439.4146,71.0856,95.0855,123.1168
"PG(39:0) PG(13:0_26:0)",821.62671,650.62081,271.2268,453.4302,71.0856,95.0855,123.1168
"PG(28:0) PG(14:0_14:0)",667.45451,496.44861,285.2424,285.2424,71.0856,95.0855,123.1168
"PG(28:1) PG(14:0_14:1)",665.43891,494.43301,285.2424,283.2268,71.0856,95.0855,123.1168
"PG(29:0) PG(14:0_15:0)",681.47021,510.46431,285.2424,299.2581,71.0856,95.0855,123.1168
"PG(29:1) PG(14:0_15:1)",679.45451,508.44861,285.2424,297.2424,71.0856,95.0855,123.1168
"PG(30:0) PG(14:0_16:0)",695.48581,524.47991,285.2424,313.2737,71.0856,95.0855,123.1168
"PG(30:1) PG(14:0_16:1)",693.47021,522.46431,285.2424,311.2581,71.0856,95.0855,123.1168
"PG(31:0) PG(14:0_17:0)",709.50151,538.49561,285.2424,327.2894,71.0856,95.0855,123.1168
"PG(31:1) PG(14:0_17:1)",707.48581,536.47991,285.2424,325.2737,71.0856,95.0855,123.1168
"PG(31:2) PG(14:0_17:2)",705.47021,534.46431,285.2424,323.2581,71.0856,95.0855,123.1168
"PG(32:0) PG(14:0_18:0)",723.51711,552.51121,285.2424,341.305,71.0856,95.0855,123.1168
"PG(32:1) PG(14:0_18:1)",721.50151,550.49561,285.2424,339.2894,71.0856,95.0855,123.1168
"PG(32:2) PG(14:0_18:2)",719.48581,548.47991,285.2424,337.2737,71.0856,95.0855,123.1168
"PG(32:3) PG(14:0_18:3)",717.47021,546.46431,285.2424,335.2581,71.0856,95.0855,123.1168
"PG(32:4) PG(14:0_18:4)",715.45451,544.44861,285.2424,333.2424,71.0856,95.0855,123.1168
"PG(33:0) PG(14:0_19:0)",737.53281,566.52691,285.2424,355.3207,71.0856,95.0855,123.1168
"PG(34:0) PG(14:0_20:0)",751.54841,580.54251,285.2424,369.3363,71.0856,95.0855,123.1168
"PG(34:1) PG(14:0_20:1)",749.53281,578.52691,285.2424,367.3207,71.0856,95.0855,123.1168
"PG(34:2) PG(14:0_20:2)",747.51711,576.51121,285.2424,365.305,71.0856,95.0855,123.1168
"PG(34:3) PG(14:0_20:3)",745.50151,574.49561,285.2424,363.2894,71.0856,95.0855,123.1168
"PG(34:4) PG(14:0_20:4)",743.48581,572.47991,285.2424,361.2737,71.0856,95.0855,123.1168
"PG(34:5) PG(14:0_20:5)",741.47021,570.46431,285.2424,359.2581,71.0856,95.0855,123.1168
"PG(35:0) PG(14:0_21:0)",765.56411,594.55821,285.2424,383.352,71.0856,95.0855,123.1168
"PG(36:0) PG(14:0_22:0)",779.57971,608.57381,285.2424,397.3676,71.0856,95.0855,123.1168
"PG(36:1) PG(14:0_22:1)",777.56411,606.55821,285.2424,395.352,71.0856,95.0855,123.1168
"PG(36:2) PG(14:0_22:2)",775.54841,604.54251,285.2424,393.3363,71.0856,95.0855,123.1168
"PG(36:3) PG(14:0_22:3)",773.53281,602.52691,285.2424,391.3207,71.0856,95.0855,123.1168
"PG(36:4) PG(14:0_22:4)",771.51711,600.51121,285.2424,389.305,71.0856,95.0855,123.1168
"PG(36:5) PG(14:0_22:5)",769.50151,598.49561,285.2424,387.2894,71.0856,95.0855,123.1168
"PG(36:6) PG(14:0_22:6)",767.48581,596.47991,285.2424,385.2737,71.0856,95.0855,123.1168
"PG(37:0) PG(14:0_23:0)",793.59541,622.58951,285.2424,411.3833,71.0856,95.0855,123.1168
"PG(38:0) PG(14:0_24:0)",807.61101,636.60511,285.2424,425.3989,71.0856,95.0855,123.1168
"PG(38:1) PG(14:0_24:1)",805.59541,634.58951,285.2424,423.3833,71.0856,95.0855,123.1168
"PG(39:0) PG(14:0_25:0)",821.62671,650.62081,285.2424,439.4146,71.0856,95.0855,123.1168
"PG(40:0) PG(14:0_26:0)",835.64231,664.63641,285.2424,453.4302,71.0856,95.0855,123.1168
"PG(28:2) PG(14:1_14:1)",663.42331,492.41741,283.2268,283.2268,71.0856,95.0855,123.1168
"PG(29:1) PG(14:1_15:0)",679.45461,508.44871,283.2268,299.2581,71.0856,95.0855,123.1168
"PG(29:2) PG(14:1_15:1)",677.43891,506.43301,283.2268,297.2424,71.0856,95.0855,123.1168
"PG(30:1) PG(14:1_16:0)",693.47021,522.46431,283.2268,313.2737,71.0856,95.0855,123.1168
"PG(30:2) PG(14:1_16:1)",691.45461,520.44871,283.2268,311.2581,71.0856,95.0855,123.1168
"PG(31:1) PG(14:1_17:0)",707.48591,536.48001,283.2268,327.2894,71.0856,95.0855,123.1168
"PG(31:2) PG(14:1_17:1)",705.47021,534.46431,283.2268,325.2737,71.0856,95.0855,123.1168
"PG(31:3) PG(14:1_17:2)",703.45461,532.44871,283.2268,323.2581,71.0856,95.0855,123.1168
"PG(32:1) PG(14:1_18:0)",721.50151,550.49561,283.2268,341.305,71.0856,95.0855,123.1168
"PG(32:2) PG(14:1_18:1)",719.48591,548.48001,283.2268,339.2894,71.0856,95.0855,123.1168
"PG(32:3) PG(14:1_18:2)",717.47021,546.46431,283.2268,337.2737,71.0856,95.0855,123.1168
"PG(32:4) PG(14:1_18:3)",715.45461,544.44871,283.2268,335.2581,71.0856,95.0855,123.1168
"PG(32:5) PG(14:1_18:4)",713.43891,542.43301,283.2268,333.2424,71.0856,95.0855,123.1168
"PG(33:1) PG(14:1_19:0)",735.51721,564.51131,283.2268,355.3207,71.0856,95.0855,123.1168
"PG(34:1) PG(14:1_20:0)",749.53281,578.52691,283.2268,369.3363,71.0856,95.0855,123.1168
"PG(34:2) PG(14:1_20:1)",747.51721,576.51131,283.2268,367.3207,71.0856,95.0855,123.1168
"PG(34:3) PG(14:1_20:2)",745.50151,574.49561,283.2268,365.305,71.0856,95.0855,123.1168
"PG(34:4) PG(14:1_20:3)",743.48591,572.48001,283.2268,363.2894,71.0856,95.0855,123.1168
"PG(34:5) PG(14:1_20:4)",741.47021,570.46431,283.2268,361.2737,71.0856,95.0855,123.1168
"PG(34:6) PG(14:1_20:5)",739.45461,568.44871,283.2268,359.2581,71.0856,95.0855,123.1168
"PG(35:1) PG(14:1_21:0)",763.54851,592.54261,283.2268,383.352,71.0856,95.0855,123.1168
"PG(36:1) PG(14:1_22:0)",777.56411,606.55821,283.2268,397.3676,71.0856,95.0855,123.1168
"PG(36:2) PG(14:1_22:1)",775.54851,604.54261,283.2268,395.352,71.0856,95.0855,123.1168
"PG(36:3) PG(14:1_22:2)",773.53281,602.52691,283.2268,393.3363,71.0856,95.0855,123.1168
"PG(36:4) PG(14:1_22:3)",771.51721,600.51131,283.2268,391.3207,71.0856,95.0855,123.1168
"PG(36:5) PG(14:1_22:4)",769.50151,598.49561,283.2268,389.305,71.0856,95.0855,123.1168
"PG(36:6) PG(14:1_22:5)",767.48591,596.48001,283.2268,387.2894,71.0856,95.0855,123.1168
"PG(36:7) PG(14:1_22:6)",765.47021,594.46431,283.2268,385.2737,71.0856,95.0855,123.1168
"PG(37:1) PG(14:1_23:0)",791.57981,620.57391,283.2268,411.3833,71.0856,95.0855,123.1168
"PG(38:1) PG(14:1_24:0)",805.59541,634.58951,283.2268,425.3989,71.0856,95.0855,123.1168
"PG(38:2) PG(14:1_24:1)",803.57981,632.57391,283.2268,423.3833,71.0856,95.0855,123.1168
"PG(39:1) PG(14:1_25:0)",819.61111,648.60521,283.2268,439.4146,71.0856,95.0855,123.1168
"PG(40:1) PG(14:1_26:0)",833.62671,662.62081,283.2268,453.4302,71.0856,95.0855,123.1168
"PG(30:0) PG(15:0_15:0)",695.48591,524.48001,299.2581,299.2581,71.0856,95.0855,123.1168
"PG(30:1) PG(15:0_15:1)",693.47021,522.46431,299.2581,297.2424,71.0856,95.0855,123.1168
"PG(31:0) PG(15:0_16:0)",709.50151,538.49561,299.2581,313.2737,71.0856,95.0855,123.1168
"PG(31:1) PG(15:0_16:1)",707.48591,536.48001,299.2581,311.2581,71.0856,95.0855,123.1168
"PG(32:0) PG(15:0_17:0)",723.51721,552.51131,299.2581,327.2894,71.0856,95.0855,123.1168
"PG(32:1) PG(15:0_17:1)",721.50151,550.49561,299.2581,325.2737,71.0856,95.0855,123.1168
"PG(32:2) PG(15:0_17:2)",719.48591,548.48001,299.2581,323.2581,71.0856,95.0855,123.1168
"PG(33:0) PG(15:0_18:0)",737.53281,566.52691,299.2581,341.305,71.0856,95.0855,123.1168
"PG(33:1) PG(15:0_18:1)",735.51721,564.51131,299.2581,339.2894,71.0856,95.0855,123.1168
"PG(33:2) PG(15:0_18:2)",733.50151,562.49561,299.2581,337.2737,71.0856,95.0855,123.1168
"PG(33:3) PG(15:0_18:3)",731.48591,560.48001,299.2581,335.2581,71.0856,95.0855,123.1168
"PG(33:4) PG(15:0_18:4)",729.47021,558.46431,299.2581,333.2424,71.0856,95.0855,123.1168
"PG(34:0) PG(15:0_19:0)",751.54851,580.54261,299.2581,355.3207,71.0856,95.0855,123.1168
"PG(35:0) PG(15:0_20:0)",765.56411,594.55821,299.2581,369.3363,71.0856,95.0855,123.1168
"PG(35:1) PG(15:0_20:1)",763.54851,592.54261,299.2581,367.3207,71.0856,95.0855,123.1168
"PG(35:2) PG(15:0_20:2)",761.53281,590.52691,299.2581,365.305,71.0856,95.0855,123.1168
"PG(35:3) PG(15:0_20:3)",759.51721,588.51131,299.2581,363.2894,71.0856,95.0855,123.1168
"PG(35:4) PG(15:0_20:4)",757.50151,586.49561,299.2581,361.2737,71.0856,95.0855,123.1168
"PG(35:5) PG(15:0_20:5)",755.48591,584.48001,299.2581,359.2581,71.0856,95.0855,123.1168
"PG(36:0) PG(15:0_21:0)",779.57981,608.57391,299.2581,383.352,71.0856,95.0855,123.1168
"PG(37:0) PG(15:0_22:0)",793.59541,622.58951,299.2581,397.3676,71.0856,95.0855,123.1168
"PG(37:1) PG(15:0_22:1)",791.57981,620.57391,299.2581,395.352,71.0856,95.0855,123.1168
"PG(37:2) PG(15:0_22:2)",789.56411,618.55821,299.2581,393.3363,71.0856,95.0855,123.1168
"PG(37:3) PG(15:0_22:3)",787.54851,616.54261,299.2581,391.3207,71.0856,95.0855,123.1168
"PG(37:4) PG(15:0_22:4)",785.53281,614.52691,299.2581,389.305,71.0856,95.0855,123.1168
"PG(37:5) PG(15:0_22:5)",783.51721,612.51131,299.2581,387.2894,71.0856,95.0855,123.1168
"PG(37:6) PG(15:0_22:6)",781.50151,610.49561,299.2581,385.2737,71.0856,95.0855,123.1168
"PG(38:0) PG(15:0_23:0)",807.61111,636.60521,299.2581,411.3833,71.0856,95.0855,123.1168
"PG(39:0) PG(15:0_24:0)",821.62671,650.62081,299.2581,425.3989,71.0856,95.0855,123.1168
"PG(39:1) PG(15:0_24:1)",819.61111,648.60521,299.2581,423.3833,71.0856,95.0855,123.1168
"PG(40:0) PG(15:0_25:0)",835.64241,664.63651,299.2581,439.4146,71.0856,95.0855,123.1168
"PG(41:0) PG(15:0_26:0)",849.65801,678.65211,299.2581,453.4302,71.0856,95.0855,123.1168
"PG(30:2) PG(15:1_15:1)",691.45451,520.44861,297.2424,297.2424,71.0856,95.0855,123.1168
"PG(31:1) PG(15:1_16:0)",707.48581,536.47991,297.2424,313.2737,71.0856,95.0855,123.1168
"PG(31:2) PG(15:1_16:1)",705.47021,534.46431,297.2424,311.2581,71.0856,95.0855,123.1168
"PG(32:1) PG(15:1_17:0)",721.50151,550.49561,297.2424,327.2894,71.0856,95.0855,123.1168
"PG(32:2) PG(15:1_17:1)",719.48581,548.47991,297.2424,325.2737,71.0856,95.0855,123.1168
"PG(32:3) PG(15:1_17:2)",717.47021,546.46431,297.2424,323.2581,71.0856,95.0855,123.1168
"PG(33:1) PG(15:1_18:0)",735.51711,564.51121,297.2424,341.305,71.0856,95.0855,123.1168
